species_taxid	species_name	genus_taxid	genus_name
2886538	Tipula excisa	41043	Tipula
2890055	Androsace saussurei	85163	Androsace
2891110	Bembidion fellmanni	60800	Bembidion
28933	Nothofagus antarctica	26779	Nothofagus
28935	Nothofagus betuloides	26779	Nothofagus
2905844	Ceratophysella scotica	187617	Ceratophysella
2961521	Maraenobiotus insignipes	1795229	Maraenobiotus
29672	Avenella flexuosa	391960	Avenella
29771	Saxifraga oppositifolia	3798	Saxifraga
2996	Hydrurus foetidus	2995	Hydrurus
299780	Linaria alpina	43170	Linaria
2998212	Camisia foveolata	198256	Camisia
303395	Eunotia bilunaris	196637	Eunotia
3040858	Diamesa davisi	338156	Diamesa
304816	Cortinarius rubricosus	34451	Cortinarius
309942	Bombus alpinus	28641	Bombus
3123227	Svalbardia bicuspidata	1250648	Svalbardia
3123433	Rhyacophila angelieri	177632	Rhyacophila
3135909	Meridion circulare	1490962	Meridion
315203	Sarcoleotia globosa	315084	Sarcoleotia
315524	Micropsectra atrofasciata	288800	Micropsectra
32119	Rumohra adiantiformis	32118	Rumohra
324491	Psilopilum cavifolium	111661	Psilopilum
327266	Drusus discolor	177679	Drusus
328905	Baetis alpinus	189838	Baetis
332565	Pleurodema marmoratum	318408	Pleurodema
338686	Byrrhus arietinus	174915	Byrrhus
338688	Byrrhus fasciatus	174915	Byrrhus
342899	Perla grandis	227362	Perla
344590	Laccaria montana	29882	Laccaria
346724	Atheta hypnorum	135865	Atheta
350623	Stereocaulon alpinum	50938	Stereocaulon
357475	Papaver radicatum	3468	Papaver
36063	Hebeloma mesophaeum	34453	Hebeloma
362598	Hornungia alpina	153320	Hornungia
370026	Desoria olivacea	281417	Desoria
370683	Primula stuartii	49647	Primula
391068	Geopora cervina	137247	Geopora
395313	Salix arctica	40685	Salix
397257	Typhula variabilis	68809	Typhula
39862	Silene acaulis	3573	Silene
408822	Cladophialophora minutissima	82105	Cladophialophora
410632	Moehringia ciliata	169226	Moehringia
415614	Acanthocyclops robustus	245076	Acanthocyclops
426662	Tabellaria flocculosa	426661	Tabellaria
428162	Campanula cochleariifolia	40568	Campanula
42846	Daphnia longispina	6668	Daphnia
431330	Encyonema minutum	216746	Encyonema
431333	Achnanthidium minutissimum	265567	Achnanthidium
431400	Navicula cryptotenella	50949	Navicula
431577	Pinnularia microstauron	216736	Pinnularia
431585	Stauroneis anceps	265583	Stauroneis
439840	Spadicoides bina	439828	Spadicoides
441507	Leuctra fusca	143734	Leuctra
450006	Quinchamalium chilense	450005	Quinchamalium
46319	Marsippospermum grandiflorum	46318	Marsippospermum
466727	Lednia tumana	466726	Lednia
467821	Inocybe egenula	71953	Inocybe
475014	Euphrasia minima	46053	Euphrasia
484033	Drusus destitutus	177679	Drusus
4959	Debaryomyces hansenii	4958	Debaryomyces
50452	Arabis alpina	50451	Arabis
52153	Festuca rubra	4605	Festuca
525771	Boloria napaea	127313	Boloria
56490	Thelephora americana	56489	Thelephora
596920	Lactarius griseus	34444	Lactarius
611450	Corynoneura scutellata	611344	Corynoneura
611584	Parametriocnemus stylatus	611373	Parametriocnemus
611691	Tvetenia calvescens	611398	Tvetenia
62722	Phialocephala fortinii	150173	Phialocephala
630096	Luzula confusa	46322	Luzula
651695	Xenostigmina zilleri	286656	Xenostigmina
651987	Catops tristis	290665	Catops
664874	Petrocallis pyrenaica	664873	Petrocallis
685684	Gonatium rubellum	685683	Gonatium
707889	Lepidocyrtus lignorum	49178	Lepidocyrtus
749266	Chloraea alpina	79036	Chloraea
74982	Pardosa nigra	74980	Pardosa
74988	Pardosa pullata	74980	Pardosa
74994	Pardosa lugubris	74980	Pardosa
77067	Salix serpyllifolia	40685	Salix
795044	Amara erratica	60755	Amara
795045	Amara quenseli	60755	Amara
81839	Bathyphantes gracilis	81838	Bathyphantes
83410	Saxifraga exarata	3798	Saxifraga
85263	Saxifraga retusa	3798	Saxifraga
85710	Nebria castanea	60834	Nebria
858854	Cortinarius alpinus	34451	Cortinarius
87701	Poa alpina	4544	Poa
88642	Rhizocarpon geographicum	88641	Rhizocarpon
