target_taxid	organism_taxid	assembly_accession	note
357475	3469	GCF_003573695.1	genus_representative
362598			no_assembly
370026	370026	GCA_034695115.1	species_level
370683	175095	GCA_965240305.1	genus_representative
391068			no_assembly
395313	1413687	GCA_040801865.1	genus_representative
397257			no_assembly
408822	569365	GCF_000835495.1	genus_representative
410632	169227	GCA_964106765.1	genus_representative
415614			no_assembly
426662			no_assembly
428162	989334	GCA_026119855.1	genus_representative
431330			no_assembly
431333			no_assembly
431400			no_assembly
431577			no_assembly
431585			no_assembly
439840			no_assembly
441507	143735	GCA_934045905.1	genus_representative
450006			no_assembly
466727	466727	GCA_003287335.1	species_level
467821	2822767	GCA_965233645.1	genus_representative
475014	475003	GCA_954870475.1	genus_representative
484033	492533	GCA_022651775.1	genus_representative
525771	1943797	GCA_977013735.1	genus_representative
596920	152933	GCA_964235335.1	genus_representative
611450			no_assembly
611584			no_assembly
611691			no_assembly
630096	59018	GCA_946800325.1	genus_representative
651695			no_assembly
651987	346753	GCA_965642125.1	genus_representative
664874			no_assembly
685684			no_assembly
707889	707889	GCA_034696835.1	species_level
749266			no_assembly
795044	585988	GCA_973350105.1	genus_representative
795045	585988	GCA_973350105.1	genus_representative
858854			no_assembly
903422			no_assembly
903428			no_assembly
925971			no_assembly
984906	984905	GCA_975301275.1	genus_representative
1042862	984905	GCA_975301275.1	genus_representative
1085736	3097545	GCA_054135205.1	genus_representative
1091530	73102	GCA_046119095.1	genus_representative
1107644			no_assembly
1118155	1118155	GCA_000239015.2	species_level
1149905	878211	GCA_944039245.1	genus_representative
1177201	878211	GCA_944039245.1	genus_representative
1250597	128015	GCA_051820355.1	genus_representative
1267525			no_assembly
1293966	1293975	GCA_033070095.1	genus_representative
1351830	210355	GCA_965153245.1	genus_representative
1355900	984905	GCA_975301275.1	genus_representative
1385497	102714	GCA_965199075.1	genus_representative
1395542	63632	GCA_052724335.1	genus_representative
1398205	346812	GCA_965642445.1	genus_representative
1405138			no_assembly
1435664			no_assembly
1448309	1448309	GCA_014904985.1	species_level
1483593			no_assembly
1483842	414939	GCA_051122355.1	genus_representative
1485667			no_assembly
1501873			no_assembly
1532265	118891	GCA_965615755.1	genus_representative
1534596	23028	GCA_966183415.1	genus_representative
1553251			no_assembly
1553348			no_assembly
1553373			no_assembly
1553385			no_assembly
1553407			no_assembly
1553531			no_assembly
1553643			no_assembly
1553662	153785	GCA_977071015.1	genus_representative
1553837			no_assembly
1577080			no_assembly
1659357			no_assembly
1659903			no_assembly
1678822			no_assembly
1715899	368684	GCA_965199305.1	genus_representative
