target_taxid	organism_taxid	assembly_accession	note	in_ngslca	in_kraken2	in_both
651987	346753	GCA_965642125.1	genus_representative	True	False	False
664874			no_assembly	False	False	False
685684			no_assembly	False	False	False
707889	707889	GCA_034696835.1	species_level	True	False	False
749266			no_assembly	False	False	False
795044	585988	GCA_973350105.1	genus_representative	True	False	False
795045	585988	GCA_973350105.1	genus_representative	True	False	False
858854			no_assembly	False	False	False
903422			no_assembly	False	False	False
903428			no_assembly	False	False	False
925971			no_assembly	False	False	False
984906	984905	GCA_975301275.1	genus_representative	True	False	False
1042862	984905	GCA_975301275.1	genus_representative	True	False	False
1085736	3097545	GCA_054135205.1	genus_representative	True	False	False
1091530	73102	GCA_046119095.1	genus_representative	True	False	False
1107644			no_assembly	False	False	False
1118155	1118155	GCA_000239015.2	species_level	False	False	False
1149905	878211	GCA_944039245.1	genus_representative	True	False	False
1177201	878211	GCA_944039245.1	genus_representative	True	False	False
1250597	128015	GCA_051820355.1	genus_representative	True	True	True
1267525			no_assembly	False	False	False
1293966	1293975	GCA_033070095.1	genus_representative	True	False	False
1351830	210355	GCA_965153245.1	genus_representative	True	False	False
1355900	984905	GCA_975301275.1	genus_representative	True	False	False
1385497	102714	GCA_965199075.1	genus_representative	True	False	False
1395542	63632	GCA_052724335.1	genus_representative	True	False	False
1398205	346812	GCA_965642445.1	genus_representative	True	False	False
1405138			no_assembly	False	False	False
1435664			no_assembly	False	False	False
1448309	1448309	GCA_014904985.1	species_level	False	False	False
1483593			no_assembly	False	False	False
1483842	414939	GCA_051122355.1	genus_representative	True	False	False
1485667			no_assembly	False	False	False
1501873			no_assembly	False	False	False
1532265	118891	GCA_965615755.1	genus_representative	True	False	False
1534596	23028	GCA_966183415.1	genus_representative	True	False	False
1553251			no_assembly	False	False	False
1553348			no_assembly	False	False	False
1553373			no_assembly	False	False	False
1553385			no_assembly	False	False	False
1553407			no_assembly	False	False	False
1553531			no_assembly	False	False	False
1553643			no_assembly	False	False	False
1553662	153785	GCA_977071015.1	genus_representative	True	False	False
1553837			no_assembly	False	False	False
1577080			no_assembly	False	False	False
1659357			no_assembly	False	False	False
1659903			no_assembly	False	False	False
1678822			no_assembly	False	False	False
1715899	368684	GCA_965199305.1	genus_representative	True	False	False
1751537	984905	GCA_975301275.1	genus_representative	True	False	False
1751540	984905	GCA_975301275.1	genus_representative	True	False	False
1751541			no_assembly	False	False	False
1751544			no_assembly	False	False	False
1753982	303400	GCA_019593585.1	genus_representative	True	False	False
1780255			no_assembly	False	False	False
1790224			no_assembly	False	False	False
1795230			no_assembly	False	False	False
1875977	1875977	GCA_022683975.1	species_level	True	False	False
1875987	177636	GCA_022495005.1	genus_representative	True	False	False
1876357			no_assembly	False	False	False
1886436	85882	GCA_965637395.1	genus_representative	True	False	False
1926177			no_assembly	False	False	False
1963269	1348612	GCA_003547095.1	genus_representative	True	False	False
1982783			no_assembly	False	False	False
2014047			no_assembly	False	False	False
2045230			no_assembly	False	False	False
2267583	303400	GCA_019593585.1	genus_representative	True	False	False
2528720	303400	GCA_019593585.1	genus_representative	True	False	False
2578536			no_assembly	False	False	False
2604012			no_assembly	False	False	False
2707515			no_assembly	False	False	False
2717729			no_assembly	False	False	False
2864982	878211	GCA_944039245.1	genus_representative	True	False	False
2875554			no_assembly	False	False	False
2881961			no_assembly	False	False	False
2886538	2741129	GCA_958295665.1	genus_representative	True	False	False
2890055	2890055	GCA_964267185.3	species_level	True	False	False
2891110			no_assembly	False	False	False
2905844	2905844	GCA_034694025.1	species_level	False	False	False
2961521			no_assembly	False	False	False
2998212	198258	GCA_034694065.1	genus_representative	True	False	False
3040858	984905	GCA_975301275.1	genus_representative	True	False	False
3123227			no_assembly	False	False	False
3123433	177636	GCA_022495005.1	genus_representative	True	False	False
3135909			no_assembly	False	False	False
