Organism Taxonomic ID	Organism Name	Assembly Accession	Source Database	Assembly Level	Assembly Refseq Category	Assembly Status	Assembly Release Date
93036	Poa annua	GCA_026929855.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2022-12-16
129212	Polytrichastrum alpinum	GCA_048933195.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-03-25
88642	Rhizocarpon geographicum	GCA_964257585.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2024-09-21
1875977	Rhyacophila evoluta	GCA_022683975.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2022-03-23
1875977	Rhyacophila evoluta	GCA_022494875.2	SOURCE_DATABASE_GENBANK	Scaffold		current	2022-03-17
242528	Rumex scutatus	GCA_046244935.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2024-12-21
32119	Rumohra adiantiformis	GCA_033807815.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-11-20
102714	Saxifraga aizoides	GCA_965199075.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2025-03-13
102714	Saxifraga aizoides	GCA_965199195.1	SOURCE_DATABASE_GENBANK	Scaffold		current	2025-03-13
29771	Saxifraga oppositifolia	GCA_032718425.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2023-10-16
350623	Stereocaulon alpinum	GCA_018257865.1	SOURCE_DATABASE_GENBANK	Scaffold	reference genome	current	2021-05-04
229869	Tectocepheus velatus	GCA_034700625.1	SOURCE_DATABASE_GENBANK	Contig	reference genome	current	2023-12-27
287373	Zygaena exulans	GCA_964261585.1	SOURCE_DATABASE_GENBANK	Chromosome	reference genome	current	2024-09-10
287373	Zygaena exulans	GCA_964261605.1	SOURCE_DATABASE_GENBANK	Scaffold		current	2024-09-07
